samples,GSR-O H=2,GSR-O H=5,GSR-OH H=2,CSR-OH H=5,Offline H=2,Offline H=5
8901,0.254885403839889,0.213081413575471,0.183989452324695,0.30776853374991,0.269146128078549,0.260435698255482
8951,0.255130525268561,0.213145934234408,0.184007762416976,0.30766738937461,0.269065999939369,0.26048256638437
9001,0.255284241413454,0.213043505632789,0.18371489986256,0.307401613530816,0.268838677616808,0.260299535360649
9051,0.255200749497471,0.212921421420756,0.183337547603255,0.307165337156353,0.268729434281965,0.260234199869649
9101,0.254892750042562,0.212685292174982,0.182894685034714,0.306888158205424,0.268638398832534,0.260332136820946
9151,0.255100080005643,0.212770924356464,0.182976653586631,0.306899540156254,0.268755298967071,0.260841931551283
9201,0.255328228064999,0.212829665002658,0.18299849148738,0.307039722464276,0.26892857372254,0.261005519191557
9251,0.255370834488395,0.212716701056683,0.183074177646586,0.306957411878147,0.268877057645581,0.261066208637608
9301,0.255241313995485,0.212464110318434,0.182848263564684,0.306763802037424,0.26875208965676,0.260856892619613
9351,0.255237920046041,0.21230035991723,0.182905244746206,0.306668726125392,0.268698950623684,0.26086242030241
